:16:08
T:29.8°C -- T2:28.8°C -- HR:73.5 08/09/2021 10:39:06
T:30.1°C -- T2:29.1°C -- HR:70.9 08/09/2021 10:39:27
T:30.0°C -- T2:29.0°C -- HR:71.3 08/09/2021 10:39:47
T:29.9°C -- T2:28.8°C -- HR:73.6 08/09/2021 10:40:08
T:29.9°C -- T2:28.5°C -- HR:77.8 08/09/2021 10:40:29
T:29.9°C -- T2:28.7°C -- HR:77.6 08/09/2021 10:40:51
T:30.0°C -- T2:29.0°C -- HR:74.7 08/09/2021 10:41:11
T:30.2°C -- T2:29.2°C -- HR:71.8 08/09/2021 10:41:32
T:30.2°C -- T2:29.2°C -- HR:71.0 08/09/2021 10:41:54
T:29.9°C -- T2:28.9°C -- HR:73.2 08/09/2021 10:42:15
T:30.0°C -- T2:29.0°C -- HR:71.3 08/09/2021 10:42:36
T:30.0°C -- T2:29.0°C -- HR:71.5 08/09/2021 10:42:57
T:29.8°C -- T2:28.8°C -- HR:73.0 08/09/2021 10:43:17
T:30.0°C -- T2:29.0°C -- HR:70.9 08/09/2021 10:43:38
T:29.9°C -- T2:28.9°C -- HR:72.2 08/09/2021 10:43:59
T:29.8°C -- T2:28.8°C -- HR:72.6 08/09/2021 10:44:20
T:30.0°C -- T2:29.0°C -- HR:70.8 08/09/2021 10:44:41
T:29.9°C -- T2:28.9°C -- HR:72.7 08/09/2021 10:45:03
T:29.9°C -- T2:28.8°C -- HR:72.7 08/09/2021 10:45:23
T:30.1°C -- T2:29.1°C -- HR:70.8 08/09/2021 10:45:45
T:29.9°C -- T2:28.8°C -- HR:73.5 08/09/2021 10:46:06
T:29.8°C -- T2:28.7°C -- HR:73.6 08/09/2021 10:46:27
T:30.1°C -- T2:29.0°C -- HR:70.9 08/09/2021 10:46:47
T:29.9°C -- T2:28.9°C -- HR:72.2 08/09/2021 10:47:09
T:29.7°C -- T2:28.7°C -- HR:73.8 08/09/2021 10:47:29
T:30.0°C -- T2:29.0°C -- HR:71.5 08/09/2021 10:47:51
T:30.0°C -- T2:29.0°C -- HR:71.6 08/09/2021 10:48:12
T:29.8°C -- T2:28.7°C -- HR:73.9 08/09/2021 10:48:33
T:30.0°C -- T2:29.0°C -- HR:71.8 08/09/2021 10:48:53
T:30.1°C -- T2:29.0°C -- HR:71.0 08/09/2021 10:49:15
T:29.9°C -- T2:28.7°C -- HR:73.5 08/09/2021 10:49:36
T:29.9°C -- T2:28.9°C -- HR:72.2 08/09/2021 10:49:57
T:30.1°C -- T2:29.0°C -- HR:71.0 08/09/2021 10:50:18
T:30.0°C -- T2:28.6°C -- HR:72.9 08/09/2021 10:50:39
T:29.9°C -- T2:28.8°C -- HR:71.6 08/09/2021 10:50:59
T:30.0°C -- T2:29.0°C -- HR:71.4 08/09/2021 10:51:20
T:29.9°C -- T2:28.8°C -- HR:73.4 08/09/2021 10:51:41
T:30.0°C -- T2:29.0°C -- HR:71.4 08/09/2021 10:52:02
T:30.1°C -- T2:28.9°C -- HR:72.0 08/09/2021 10:52:23
T:30.0°C -- T2:28.6°C -- HR:74.4 08/09/2021 10:52:44
T:30.0°C -- T2:29.0°C -- HR:72.4 08/09/2021 10:53:05
T:30.1°C -- T2:29.1°C -- HR:70.7 08/09/2021 10:53:26
T:30.1°C -- T2:28.8°C -- HR:72.9 08/09/2021 10:53:47
T:30.0°C -- T2:28.9°C -- HR:72.1 08/09/2021 10:54:08
T:30.1°C -- T2:29.0°C -- HR:71.2 08/09/2021 10:54:29
T:29.8°C -- T2:28.7°C -- HR:73.9 08/09/2021 10:54:51
T:29.8°C -- T2:28.8°C -- HR:72.8 08/09/2021 10:55:11
T:30.1°C -- T2:29.1°C -- HR:70.7 08/09/2021 10:55:33
T:29.9°C -- T2:28.9°C -- HR:72.6 08/09/2021 10:55:54
T:29.9°C -- T2:28.9°C -- HR:72.6 08/09/2021 10:56:15
T:30.1°C -- T2:29.1°C -- HR:70.9 08/09/2021 10:56:36
T:29.9°C -- T2:28.9°C -- HR:73.0 08/09/2021 10:56:57
T:29.9°C -- T2:28.8°C -- HR:72.8 08/09/2021 10:57:18
T:30.1°C -- T2:29.1°C -- HR:70.7 08/09/2021 10:57:39
T:30.0°C -- T2:28.7°C -- HR:73.0 08/09/2021 10:58:00
T:29.9°C -- T2:28.7°C -- HR:73.3 08/09/2021 10:58:21
T:30.1°C -- T2:29.1°C -- HR:70.8 08/09/2021 10:58:42
T:30.0°C -- T2:28.9°C -- HR:72.3 08/09/2021 10:59:03
T:29.9°C -- T2:28.7°C -- HR:73.6 08/09/2021 10:59:24
T:30.0°C -- T2:29.0°C -- HR:71.1 08/09/2021 10:59:45
T:30.1°C -- T2:28.8°C -- HR:71.7 08/09/2021 11:00:06
T:29.9°C -- T2:28.6°C -- HR:73.3 08/09/2021 11:00:27
T:30.0°C -- T2:29.0°C -- HR:71.0 08/09/2021 11:00:48
T:30.0°C -- T2:28.8°C -- HR:72.0 08/09/2021 11:01:09
T:29.9°C -- T2:28.7°C -- HR:73.2 08/09/2021 11:01:30
T:30.0°C -- T2:29.0°C -- HR:70.9 08/09/2021 11:01:51
T:30.0°C -- T2:28.8°C -- HR:72.8 08/09/2021 11:02:11
T:29.9°C -- T2:28.6°C -- HR:74.2 08/09/2021 11:02:33
T:30.0°C -- T2:29.0°C -- HR:71.8 08/09/2021 11:02:54
T:30.1°C -- T2:29.0°C -- HR:71.3 08/09/2021 11:03:15
T:29.9°C -- T2:28.6°C -- HR:73.4 08/09/2021 11:03:36
T:29.9°C -- T2:28.9°C -- HR:71.8 08/09/2021 11:03:57
T:30.0°C -- T2:29.0°C -- HR:71.3 08/09/2021 11:04:18
T:29.9°C -- T2:28.6°C -- HR:74.0 08/09/2021 11:04:39
T:29.9°C -- T2:28.8°C -- HR:72.5 08/09/2021 11:05:00
T:30.1°C -- T2:29.1°C -- HR:71.1 08/09/2021 11:05:21
T:29.8°C -- T2:28.8°C -- HR:73.9 08/09/2021 11:05:42
T:29.8°C -- T2:28.8°C -- HR:73.5 08/09/2021 11:06:03
T:30.1°C -- T2:29.1°C -- HR:71.0 08/09/2021 11:06:24
T:30.0°C -- T2:28.9°C -- HR:72.5 08/09/2021 11:06:45
T:29.8°C -- T2:28.7°C -- HR:74.0 08/09/2021 11:07:06
T:30.0°C -- T2:29.0°C -- HR:71.7 08/09/2021 11:07:27
T:30.1°C -- T2:29.1°C -- HR:71.1 08/09/2021 11:07:48
T:30.0°C -- T2:28.8°C -- HR:73.1 08/09/2021 11:08:09
T:30.0°C -- T2:28.9°C -- HR:72.2 08/09/2021 11:08:30
T:30.0°C -- T2:29.0°C -- HR:71.2 08/09/2021 11:08:51
T:30.0°C -- T2:28.7°C -- HR:73.9 08/09/2021 11:09:12
